Adress,Educational Institute,Restaurants,Medical Service,Parks
"Block A, Bank Colony, Savar, Dhaka",8,50,24,3
"Block A, Bashundhara R-A, Dhaka",6,14,1,8
"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",19,0,0,9
"Block A, Bochila Garden City, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Block A, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Block A, Chad Uddan Housing, Mohammadpur, Dhaka",35,24,29,19
"Block A, Chandmiya Housing, Mohammadpur, Dhaka",50,47,38,28
"Block A, Chandrima Model Town, Mohammadpur, Dhaka",6,1,5,2
"Block A, Dhaka Uddan, Mohammadpur, Dhaka",44,14,50,3
"Block A, Eastern Housing, Pallabi, Mirpur, Dhaka",50,26,6,13
"Block A, Future Town, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Block A, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",50,50,25,33
"Block A, Lalmatia, Dhaka",50,51,20,50
"Block A, Mansurabad Housing Society, Adabor, Dhaka",35,48,24,30
"Block A, Metro Housing, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Block A, Mohanagar Housing, West Rampura, Rampura, Dhaka",43,50,14,28
"Block A, Niketan, Dhaka",50,50,50,18
"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",50,29,50,11
"Block A, Pallabi, Mirpur, Dhaka",50,26,6,13
"Block A, Radio Colony, Savar, Dhaka",5,40,14,2
"Block A, Rainkhola, Section 2, Mirpur, Dhaka",50,50,5,19
"Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",0,0,0,1
"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",50,43,35,26
"Block A, Sayednagar, East Vatara, Vatara, Badda, Dhaka",14,21,8,13
"Block A, Section 1, Mirpur, Dhaka",26,27,3,13
"Block A, Section 10, Mirpur, Dhaka",50,50,20,26
"Block A, Section 11, Mirpur, Dhaka",50,50,20,27
"Block A, Section 12, Mirpur, Dhaka",50,50,17,21
"Block A, Section 13, Mirpur, Dhaka",50,50,15,13
"Block A, Section 2, Mirpur, Dhaka",50,50,5,16
"Block A, Section 6, Mirpur, Dhaka",50,50,15,21
"Block A, Sontek, Donia, Jatra Bari, Dhaka",24,41,2,5
"Block A, South Banasree Project, Banasree, Dhaka",4,5,1,3
"Block A/5, Word 9, Khilbari Tek, Badda, Dhaka",17,28,16,9
"Block B, Aftab Nagar, Dhaka",11,39,27,20
"Block B, Arambag Residential Area, Pallabi, Mirpur, Dhaka",50,26,6,13
"Block B, Banasree, Dhaka",10,50,21,21
"Block B, Bank Colony, Savar, Dhaka",8,50,24,3
"Block B, Bashundhara R-A, Dhaka",9,13,3,6
